testcase,npernode,nprocs,image_size,total_weight,target_per_proc,scatter_time,avg_render_time,composite_time,total_time,img_size_vs_base,weight_vs_base,time_vs_base
imbalance_c100000,1,4,76800,3709266845.74,,0.036577,0.370705,0.478770,0.886052000,0.2500,132.3456,0.8674
imbalance_c100000,2,8,76800,3709266845.74,,0.046506,0.179501,0.268895,0.494902000,0.2500,132.3456,0.7771
imbalance_c100000,4,16,76800,3709266845.74,,0.083168,0.090450,0.206298,0.379916000,0.2500,132.3456,0.7817
imbalance_c100000,8,32,76800,3709266845.74,,0.129585,0.050102,0.168575,0.348262000,0.2500,132.3456,0.6788
imbalance_c100000,12,48,76800,3709266845.74,,0.164505,0.033451,0.150948,0.348904000,0.2500,132.3456,0.6190
imbalance_c100000,16,64,76800,3709266845.74,,0.930930,0.024667,0.163045,1.118642000,0.2500,132.3456,0.8424
medium_c200000,1,4,307200,28027119.93,,0.056600,0.411347,0.553606,1.021553000,1.0000,1.0000,1.0000
medium_c200000,2,8,307200,28027119.93,,0.069030,0.207024,0.360798,0.636852000,1.0000,1.0000,1.0000
medium_c200000,4,16,307200,28027119.93,,0.083827,0.111081,0.291079,0.485987000,1.0000,1.0000,1.0000
medium_c200000,8,32,307200,28027119.93,,0.163339,0.056245,0.293447,0.513031000,1.0000,1.0000,1.0000
medium_c200000,12,48,307200,28027119.93,,0.207159,0.036955,0.319518,0.563632000,1.0000,1.0000,1.0000
medium_c200000,16,64,307200,28027119.93,,0.945773,0.028615,0.353596,1.327984000,1.0000,1.0000,1.0000
large_c1000000,1,4,307200,140305555.48,,0.075404,2.045029,2.216331,4.336764000,1.0000,5.0061,4.2453
large_c1000000,2,8,307200,140305555.48,,0.078571,1.032505,1.199815,2.310891000,1.0000,5.0061,3.6286
large_c1000000,4,16,307200,140305555.48,,0.127005,0.517611,0.709787,1.354403000,1.0000,5.0061,2.7869
large_c1000000,8,32,307200,140305555.48,,0.206299,0.262823,0.510130,0.979252000,1.0000,5.0061,1.9088
large_c1000000,12,48,307200,140305555.48,,0.275461,0.175217,0.461213,0.911891000,1.0000,5.0061,1.6179
large_c1000000,16,64,307200,140305555.48,,1.002078,0.129809,0.455897,1.587784000,1.0000,5.0061,1.1956
large_c2000000,1,4,307200,280806826.90,,0.111312,3.484874,4.076828,7.673014000,1.0000,10.0191,7.5111
large_c2000000,2,8,307200,280806826.90,,0.113563,2.078443,2.263443,4.455449000,1.0000,10.0191,6.9961
large_c2000000,4,16,307200,280806826.90,,0.189308,1.040302,1.243944,2.473554000,1.0000,10.0191,5.0898
large_c2000000,8,32,307200,280806826.90,,0.264870,0.517966,0.772309,1.555145000,1.0000,10.0191,3.0313
large_c2000000,12,48,307200,280806826.90,,0.320762,0.344111,0.635047,1.299920000,1.0000,10.0191,2.3063
large_c2000000,16,64,307200,280806826.90,,1.135820,0.260198,0.587420,1.983438000,1.0000,10.0191,1.4936
large_c4000000,1,4,307200,561477667.03,,0.190123,6.060320,6.353120,12.603563000,1.0000,20.0334,12.3376
large_c4000000,2,8,307200,561477667.03,,0.189232,3.543783,4.155606,7.888621000,1.0000,20.0334,12.3869
large_c4000000,4,16,307200,561477667.03,,0.237727,1.772936,2.188031,4.198694000,1.0000,20.0334,8.6395
large_c4000000,8,32,307200,561477667.03,,0.330855,1.024434,1.349129,2.704418000,1.0000,20.0334,5.2715
large_c4000000,12,48,307200,561477667.03,,0.448867,0.686107,0.986254,2.121228000,1.0000,20.0334,3.7635
large_c4000000,16,64,307200,561477667.03,,1.344422,0.517138,0.843504,2.705064000,1.0000,20.0334,2.0370
