testcase,npernode,nprocs,image_size,total_weight,target_per_proc,scatter_time,avg_render_time,composite_time,total_time
imbalance_c100000,1,4,76800,3709266845.74,927316711.43,0.042528,0.450070,0.528516,1.021114000
imbalance_c100000,2,8,76800,3709266845.74,463658355.72,0.048356,0.226110,0.314780,0.589246000
imbalance_c100000,4,16,76800,3709266845.74,231829177.86,0.096115,0.114272,0.239169,0.449556000
imbalance_c100000,8,32,76800,3709266845.74,115914588.93,0.152341,0.059726,0.173048,0.385115000
imbalance_c100000,12,48,76800,3709266845.74,77276392.62,0.194299,0.039342,0.148977,0.382618000
imbalance_c100000,16,64,76800,3709266845.74,57957294.46,1.037711,0.028938,0.162430,1.229079000
medium_c200000,1,4,307200,28027119.93,7006779.98,0.051977,0.463254,0.590951,1.106182000
medium_c200000,2,8,307200,28027119.93,3503389.99,0.068187,0.233882,0.371519,0.673588000
medium_c200000,4,16,307200,28027119.93,1751695.00,0.097922,0.119285,1.847699,2.064906000
medium_c200000,8,32,307200,28027119.93,875847.50,0.128627,0.061214,1.487988,1.677829000
medium_c200000,12,48,307200,28027119.93,583898.33,0.207173,0.042815,2.205608,2.455596000
medium_c200000,16,64,307200,28027119.93,437923.75,1.066353,0.031061,2.388990,3.486404000
large_c1000000,1,4,307200,140305555.48,35076388.87,0.068643,2.291347,2.436477,4.796467000
large_c1000000,2,8,307200,140305555.48,17538194.44,0.089084,1.156879,1.294487,2.540450000
large_c1000000,4,16,307200,140305555.48,8769097.22,0.166672,0.580287,0.764953,1.511912000
large_c1000000,8,32,307200,140305555.48,4384548.61,0.228880,0.291659,0.514566,1.035105000
large_c1000000,12,48,307200,140305555.48,2923032.41,0.315871,0.195555,1.885436,2.396862000
large_c1000000,16,64,307200,140305555.48,2192274.30,1.112144,0.147024,2.019832,3.279000000
large_c2000000,1,4,307200,280806826.90,70201706.72,0.110855,4.153848,4.347516,8.612219000
large_c2000000,2,8,307200,280806826.90,35100853.36,0.134772,2.296661,2.451016,4.882449000
large_c2000000,4,16,307200,280806826.90,17550426.68,0.208478,1.159627,1.343652,2.711757000
large_c2000000,8,32,307200,280806826.90,8775213.34,0.288613,0.581652,2.826551,3.696816000
large_c2000000,12,48,307200,280806826.90,5850142.23,0.313002,0.383742,0.640998,1.337742000
large_c2000000,16,64,307200,280806826.90,4387606.67,1.247651,0.291346,2.200746,3.739743000
large_c4000000,1,4,307200,561477667.03,140369416.76,0.192679,6.673192,7.053959,13.919830000
large_c4000000,2,8,307200,561477667.03,70184708.38,1.300328,3.556455,5.554531,10.411314000
large_c4000000,4,16,307200,561477667.03,35092354.19,0.291945,2.236355,4.361684,6.889984000
large_c4000000,8,32,307200,561477667.03,17546177.09,0.419436,1.157882,1.381758,2.959076000
large_c4000000,12,48,307200,561477667.03,11697451.40,0.456779,0.771938,1.031290,2.260007000
large_c4000000,16,64,307200,561477667.03,8773088.55,1.496073,0.579621,2.253253,4.328947000
