testcase,npernode,nprocs,total_runtime
imbalance_c100000,1,4,0.553692
imbalance_c100000,2,8,0.350744
imbalance_c100000,4,16,0.322254
imbalance_c100000,8,32,0.302351
imbalance_c100000,12,48,0.348717
imbalance_c100000,16,64,1.005500
medium_c200000,1,4,0.694561
medium_c200000,2,8,0.465730
medium_c200000,4,16,0.402487
medium_c200000,8,32,0.448797
medium_c200000,12,48,0.517596
medium_c200000,16,64,1.180209
large_c1000000,1,4,2.755837
large_c1000000,2,8,1.558614
large_c1000000,4,16,0.992557
large_c1000000,8,32,0.767826
large_c1000000,12,48,0.766006
large_c1000000,16,64,1.375539
large_c2000000,1,4,4.523031
large_c2000000,2,8,2.896683
large_c2000000,4,16,1.690908
large_c2000000,8,32,1.115033
large_c2000000,12,48,1.018806
large_c2000000,16,64,1.636314
large_c4000000,1,4,7.979713
large_c4000000,2,8,7.211252
large_c4000000,4,16,2.965208
large_c4000000,8,32,1.833631
large_c4000000,12,48,1.524425
large_c4000000,16,64,2.196972
