testcase,npernode,nprocs,total_runtime,avg_render_time
large_c1000000,1,4,1.710370067,1.509548
large_c1000000,2,8,1.082614625,0.765397
large_c1000000,3,12,0.804661383,0.497086
large_c1000000,4,16,0.721087190,0.387761
large_c2000000,2,8,1.941204176,1.512997
large_c2000000,4,16,1.170108198,0.767229
large_c2000000,6,24,0.939557082,0.515764
large_c2000000,8,32,0.823759542,0.391249
large_c4000000,4,16,2.082790691,1.557768
large_c4000000,8,32,1.291001615,0.776194
large_c4000000,12,48,1.130339514,0.527017
large_c4000000,16,64,1.692225648,0.394956
