testcase,npernode,nprocs,scatter_time,min_render,max_render,avg_render,imbalance_ratio,composite_time,total_time
imbalance_c100000,1,4,,0.423861,0.458719,0.438801,0.079439,,0.458719
imbalance_c100000,2,8,,0.211152,0.248083,0.220287,0.167649,,0.248083
imbalance_c100000,4,16,,0.101869,0.204767,0.121302,0.848280,,0.204767
imbalance_c100000,8,32,,0.048590,0.104752,0.063100,0.890048,,0.104752
imbalance_c100000,12,48,,0.025944,0.072168,0.040252,1.148365,,0.072168
imbalance_c100000,16,64,,0.000000,0.062330,0.028457,2.190322,,0.062330
medium_c200000,1,4,,0.493697,0.511944,0.505703,0.036082,,0.511944
medium_c200000,2,8,,0.252266,0.258496,0.256491,0.024289,,0.258496
medium_c200000,4,16,,0.125512,0.192783,0.136811,0.491708,,0.192783
medium_c200000,8,32,,0.064346,0.104896,0.071706,0.565504,,0.104896
medium_c200000,12,48,,0.044010,0.074218,0.049076,0.615535,,0.074218
medium_c200000,16,64,,0.033746,0.053794,0.035767,0.560517,,0.053794
large_c1000000,1,4,,2.446222,2.526101,2.496700,0.031994,,2.526101
large_c1000000,2,8,,1.227436,1.274666,1.261989,0.037425,,1.274666
large_c1000000,4,16,,0.616386,0.667424,0.637598,0.080047,,0.667424
large_c1000000,8,32,,0.310436,0.336492,0.319885,0.081454,,0.336492
large_c1000000,12,48,,0.211861,0.266781,0.216354,0.253843,,0.266781
large_c1000000,16,64,,0.155743,0.216386,0.161672,0.375099,,0.216386
large_c2000000,1,4,,4.099221,4.550636,4.296955,0.105055,,4.550636
large_c2000000,2,8,,1.515767,2.537895,2.374046,0.430543,,2.537895
large_c2000000,4,16,,1.228561,1.291062,1.259784,0.049612,,1.291062
large_c2000000,8,32,,0.615484,0.662946,0.634034,0.074857,,0.662946
large_c2000000,12,48,,0.410521,0.492843,0.426379,0.193072,,0.492843
large_c2000000,16,64,,0.309328,0.370273,0.322865,0.188763,,0.370273
large_c4000000,1,4,,6.867540,7.497652,7.305574,0.086251,,7.497652
large_c4000000,2,8,,3.022727,4.429658,4.081760,0.344687,,4.429658
large_c4000000,4,16,,1.487255,2.583577,2.365873,0.463390,,2.583577
large_c4000000,8,32,,0.745038,1.271331,1.234224,0.426416,,1.271331
large_c4000000,12,48,,0.817205,0.914440,0.840143,0.115736,,0.914440
large_c4000000,16,64,,0.579947,0.685624,0.631751,0.167276,,0.685624
